organization	recall_number	recall_date	recall_url	manufacturers	product_types	descriptions	upcs	hazards	countries
CPSC	14120	2014-03-05	http://www.cpsc.gov/en/Recalls/2014/Twin-Star-Recalls-Duraflame-Electric-Space-Heaters/	Twin-Star International	Electric Heaters	Duraflame electric space heaters		Fire & Fire-Related Burn	China
CPSC	14719	2014-03-05	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Fitness-Anywhere-Recalls-TRX-Dip-and-Hammer-Bars/	Fitness Anywhere	Exercise Machines/Equipment	TRX Dip and Hammer Bars		Fall	United States
CPSC	14118	2014-02-27	http://www.cpsc.gov/en/Recalls/2014/Mammut-Recalls-Crevasse-Rescue-Devices/	Mammut Sports Group	Climbing Equipment	Mountain climbing rescue devices		Safety Equipment Malfunction	Taiwan
CPSC	14718	2014-02-27	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Rowe-Fine-Furniture-Recalls-Ottomans/	Rowe Fine Furniture	Furniture (Miscellaneous)	Dalton Ottomans with Storage Compartments		Suffocation	United States
CPSC	14717	2014-02-26	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Yamaha-Recalls-Off-Road-Motorcycles/	Yamaha Motor Corporation	Motorcycles/Dirt Bikes (Off-Road) & Accessories	Yamaha competition off-road motorcycles		Crash	Japan
CPSC	14117	2014-02-26	http://www.cpsc.gov/en/Recalls/2014/Cork-Block-Stacking-Toys-Recalled-by-A-Harvest-Company/	A Harvest Company	Toy Blocks/Sorting	Cork Stacker block sets		Choking	United States
CPSC	14113	2014-02-25	http://www.cpsc.gov/en/Recalls/2014/Rollerblade-USA-Recalls-Tempest-Inline-Skates/	Rollerblade USA	Skates	Rollerblade® Tempest Inline Skates		Fall	Thailand
CPSC	14114	2014-02-25	http://www.cpsc.gov/en/Recalls/2014/Genie-Recalls-Garage-Door-Openers/	GMI Holdings	Garage Doors/Openers	Garage door openers		Fire & Fire-Related Burn	United States
CPSC	14115	2014-02-25	http://www.cpsc.gov/en/Recalls/2014/BRP-Recalls-Ski-Doo-and-Can-Am-Lithium-ion-Rechargeable-Batteries-and-Heated-Gloves/	Bombardier Recreational Products	Heating Pads	Ski-Doo® and Can-Am® heated gloves and Lithium-Ion Rechargeable Batteries.		Fire & Fire-Related Burn	China
CPSC	14716	2014-02-25	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Polaris-Recalls-Ranger-Recreational-Off-Highway-Vehicles/	Polaris Industries	All Terrain Vehicles (ATVs)	Recreational off-highway vehicles		Crash	Mexico
CPSC	14108	2014-02-20	http://www.cpsc.gov/en/Recalls/2014/Sterling-Rope-Company-Recalls-Sewn-Cords/	Sterling Rope Company	Climbing Equipment	Sewn cord edge restraints, sewn eyes and sewn loops.		Fall	United States
CPSC	14109	2014-02-20	http://www.cpsc.gov/en/Recalls/2014/Infantino-Recalls-Teething-Toys/	Infantino	Teething Items	Go Gaga Squeeze & Teethe Coco the Monkey		Choking	China
CPSC	14110	2014-02-20	http://www.cpsc.gov/en/Recalls/2014/US-Polo-Assn-Recalls-Girls-Jacket/	Samsung C&T America	Clothing (Children)	U.S. Polo Assn. girl’s jackets		Choking	China
CPSC	14111	2014-02-20	http://www.cpsc.gov/en/Recalls/2002/CPSC-Invensys-Climate-Controls-Announce-Recall-of-TS11-Thermal-Safety-Control-Valve/	The Eastman Footwear Group	Clothing (Children)	Coleman® Runestone Style Children’s Shoes		Laceration	China
CPSC	14107	2014-02-19	http://www.cpsc.gov/en/Recalls/2014/Lucent-Ace-Manufacturing-Recalls-LED-Flashlights/	Lucent Ace	Lights & Accessories	The battery can short and cause the flashlight’s canister to rupture, posing a burn hazard to the consumer.		Burn	China
CPSC	14106	2014-02-18	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14106	LEM Products Distribution	Food Dehydrator/Preserver/Processor	5-Tray Dehydrators with Digital Timers		Electrocution/Electric Shock	China
CPSC	14715	2014-02-18	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Club-Car-Recalls-Golf-and-Transport-Vehicles1/	Club Car	Utility, Off-Road Vehicles/Golf Carts	Precedent I2 golf and transport vehicles		Fall	United States
CPSC	14105	2014-02-12	http://www.cpsc.gov/en/Recalls/2014/Air-Compressors-Recalled-by-MAT-Industries/	MAT Industries	Air Compressors	HDX™ and Powermate® two-gallon air compressors		Electrocution/Electric Shock	China
CPSC	14104	2014-02-12	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14104	Visonic	Safety/Emergency Tool Kits	Visonic Amber SelectX Personal Emergency Response System (PERS) Kits		Safety Equipment Malfunction	Israel
CPSC	14102	2014-02-06	http://www.cpsc.gov/en/Recalls/2014/BebeLove-Recalls-Baby-Walkers/	Bebe Love	Baby Walkers/Stationary Entertainers	BebeLove™ Baby Walkers		Entanglement	Taiwan
CPSC	14101	2014-02-04	http://www.cpsc.gov/en/Recalls/2014/Runway-Global-Recalls-Girls-Sugarfly-Hooded-Jackets/	Runway Fashions	Clothing (Children)	Girls’ hooded jackets		Choking	China
CPSC	14099	2014-02-04	http://www.cpsc.gov/en/Recalls/2014/3T-Design-Recalls-Cervelo-Bicycles-with-Aduro-Aero-Handlebars/	3T Design	Bicycle & Accessories	Cervélo P5 bicycles with 3T Aduro aero handlebars		Injury	China
CPSC	14100	2014-02-04	http://www.cpsc.gov/en/Recalls/2014/Lion-Force-Recalls-Boys-Puffer-Coats/	Lion Force	Clothing (Children)	Lion Force Boys’ Puffer Coats		Choking	China
CPSC	14095	2014-01-30	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14095	GE Appliances	Dehumidifiers	GE Dehumidifiers, ADER30LN,ADEW30LN,AHR30LL,AHR30LM,AHW30LM,ADER40LN,AHH40LL,AHR40LL,AHR40LM,ADEH50LN,ADER50LN,ADEW50LN,AHH50LM,AHR50LL,AHR50LM,AHW50LM,ADER65LN,ADEW65LN,AHR65LL,AHR65LM,AHW65LM		Fire & Fire-Related Burn	China
CPSC	14096	2014-01-30	http://www.cpsc.gov/en/Recalls/2014/West-Marine-Recalls-Folding-Bicycles/	West Marine	Bicycle & Accessories	Folding Bicycles, Jetty Express 2, Port Runner 2		Fall	China
CPSC	14097	2014-01-30	http://www.cpsc.gov/en/Recalls/2014/Fred-and-Friends-Recalls-Infant-Pacifiers/	Fred & Friends	Pacifiers & Accessories	Fred & Friends Chill Baby Artiste, Volume and Panic pacifiers		Choking	China
